Date,Firm,ALP,LNP,GRN,OTH,ALP2,LNP2
10–12 Mar 2011,Nielsen[36],33%,45%,12%,10%,46%,54%
8–10 Mar 2011,Morgan (phone),31.5%,47.5%,10%,11%,44%,56%
5–6 Mar 2011,Morgan (face),37%,46.5%,9.5%,7%,48%,52%
4–6 Mar 2011,Newspoll,30%,45%,15%,10%,46%,54%
2–6 Mar 2011,Essential[e 125],36%,47%,10%,7%,47%,53%
26–27 Feb 2011,Morgan (face),41%,41%,11.5%,6.5%,53.5%,46.5%
22–27 Feb 2011,Essential[e 126],37%,45%,10%,7%,48%,52%
21–23 Feb 2011,Morgan (phone),36%,45.5%,9.5%,9%,47%,53%
18–20 Feb 2011,Newspoll,36%,41%,13%,10%,50%,50%
15–20 Feb 2011,Essential[e 127],39%,43%,11%,7%,49%,51%
12–13/19–20 Feb 2011,Morgan (face),39.5%,43%,11.5%,6%,51%,49%
8–13 Feb 2011,Essential[e 128],40%,44%,10%,6%,50%,50%
10–12 Feb 2011,Nielsen[36],32%,46%,12%,9%,46%,54%
4–6 Feb 2011,Newspoll,32%,44%,14%,10%,48%,52%
1–6 Feb 2011,Essential[e 129],38%,46%,10%,7%,49%,51%
29–30 Jan/5–6 Feb 2011,Morgan (face),39%,43%,12.5%,5.5%,51.5%,48.5%
1–3 Feb 2011,Morgan (phone),35%,42.5%,12%,10.5%,49%,51%
25–30 Jan 2011,Essential[e 130],37%,45%,11%,7%,49%,51%
18–23 Jan 2011,Essential[e 131],37%,45%,11%,7%,49%,51%
15–16/22–23 Jan 2011,Morgan (face),40.5%,41.5%,11.5%,6.5%,52.5%,47.5%
11–16 Jan 2011,Essential[e 132],38%,46%,10%,6%,48%,52%
8–9 Jan 2011,Morgan (face),38.5%,44%,13%,4.5%,50.5%,49.5%
14–19 Dec 2010,Essential[e 133],38%,46%,10%,7%,48%,52%
11–12 Dec 2010,Morgan (face),38%,43%,13.5%,5.5%,50%,50%
8–12 Dec 2010,Morgan (phone),31%,46%,13.5%,9.5%,45.5%,54.5%
7–12 Dec 2010,Essential[e 134],38%,46%,10%,7%,48%,52%
4–5 Dec 2010,Morgan (face),40.5%,40.5%,13.5%,5.5%,53%,47%
3–5 Dec 2010,Newspoll,34%,41%,14%,11%,50%,50%
30 Nov–5 Dec 2010,Essential[e 135],38%,45%,11%,6%,49%,51%
23–28 Nov 2010,Essential[e 136],38%,44%,11%,7%,49%,51%
20–21/27–28 Nov 2010,Morgan (face),40.5%,42%,12%,5.5%,52.5%,47.5%
19–21 Nov 2010,Newspoll,36%,39%,14%,11%,52%,48%
16–21 Nov 2010,Essential[e 137],38%,45%,10%,8%,49%,51%
18–20 Nov 2010,Nielsen[38],35%,43%,13%,8%,49%,51%
9–14 Nov 2010,Essential[e 138],39%,45%,10%,7%,49%,51%
6–7/13–14 Nov 2010,Morgan (face),41%,40%,12%,7%,54%,46%
5–7 Nov 2010,Newspoll,34%,43%,13%,10%,48%,52%
2–7 Nov 2010,Essential[e 139],39%,46%,8%,7%,49%,51%
26–31 Oct 2010,Essential[e 140],41%,44%,8%,7%,50%,50%
23–24/30–31 Oct 2010,Morgan (face),43%,40.5%,10.5%,6%,54%,46%
22–24 Oct 2010,Newspoll,33%,43%,14%,10%,48%,52%
19–24 Oct 2010,Essential[e 141],41%,44%,8%,7%,50%,50%
21–23 Oct 2010,Nielsen[38],34%,43%,14%,8%,49%,51%
12–17 Oct 2010,Essential[e 142],40%,44%,9%,7%,50%,50%
9–10/16–17 Oct 2010,Morgan (face),43%,40.5%,10.5%,6%,54%,46%
8–10 Oct 2010,Newspoll,35%,42%,14%,9%,50%,50%
5–10 Oct 2010,Essential[e 143],41%,44%,8%,7%,50%,50%
2–3 Oct 2010,Morgan (face),44%,38.5%,12%,5.5%,55.5%,44.5%
30 Sep–1 Oct 2010,Essential[e 144],42%,44%,8%,8%,51%,49%
21–26 Sep 2010,Essential[e 145],42%,43%,9%,6%,51%,49%
18–19 Sep 2010,Morgan (face),40.5%,41%,13%,5.5%,53.5%,46.5%
14–19 Sep 2010,Essential[e 146],40%,45%,9%,6%,50%,50%
15–16 Sep 2010,Morgan (phone),35.5%,42.5%,15%,7%,50.5%,49.5%
10–12 Sep 2010,Newspoll,34%,41%,14%,11%,50%,50%
7–12 Sep 2010,Essential[e 147],39%,44%,10%,6%,50%,50%
31 Aug–5 Sep 2010,Essential[e 148],39%,43%,11%,8%,51%,49%
28–29 Aug/4–5 Sep 2010,Morgan (face),40.5%,39.5%,15%,5%,54.5%,45.5%
24–29 Aug 2010,Essential[e 149],38%,44%,11%,7%,50%,50%
25–26 Aug 2010,Morgan (phone),36%,40%,13%,11%,51%,49%
